policy,setting,coverage,subject,policy_accuracy,ra_accuracy,delta_vs_ra,late_session_acc,negative_windows,balanced_accuracy,macro_f1
d_tgt,near_causal,0.5,1,0.5520833333333334,0.5520833333333334,0.0,0.5,1,0.5520833333333333,0.5229848249148483
d_tgt,near_causal,0.5,2,0.22916666666666666,0.21875,0.010416666666666657,0.28125,1,0.22916666666666666,0.21162279436720113
d_tgt,near_causal,0.5,3,0.6284722222222222,0.6527777777777778,-0.02430555555555558,0.6145833333333334,3,0.6284722222222223,0.6256328113627384
d_tgt,near_causal,0.5,4,0.3819444444444444,0.3854166666666667,-0.0034722222222222654,0.4166666666666667,2,0.3819444444444444,0.3406005980145019
d_tgt,near_causal,0.5,5,0.3020833333333333,0.3298611111111111,-0.02777777777777779,0.3333333333333333,3,0.3020833333333333,0.29790940675977173
d_tgt,near_causal,0.5,6,0.3368055555555556,0.3541666666666667,-0.017361111111111105,0.3229166666666667,2,0.3368055555555556,0.33145128552396885
d_tgt,near_causal,0.5,7,0.4027777777777778,0.3888888888888889,0.013888888888888895,0.3125,1,0.4027777777777778,0.3932552607469286
d_tgt,near_causal,0.5,8,0.5555555555555556,0.5451388888888888,0.01041666666666674,0.5625,1,0.5555555555555556,0.49894292217360225
d_tgt,near_causal,0.5,9,0.4375,0.4201388888888889,0.017361111111111105,0.3020833333333333,1,0.4375,0.4473141426784853
d_tgt,near_causal,0.6,1,0.5555555555555556,0.5520833333333334,0.00347222222222221,0.5104166666666666,1,0.5555555555555556,0.5263789309824229
d_tgt,near_causal,0.6,2,0.23958333333333334,0.21875,0.020833333333333343,0.28125,1,0.23958333333333334,0.21884055696924307
d_tgt,near_causal,0.6,3,0.6354166666666666,0.6527777777777778,-0.01736111111111116,0.6145833333333334,3,0.6354166666666667,0.6354434437251775
d_tgt,near_causal,0.6,4,0.3854166666666667,0.3854166666666667,0.0,0.4166666666666667,2,0.3854166666666667,0.3401974435682568
d_tgt,near_causal,0.6,5,0.3263888888888889,0.3298611111111111,-0.00347222222222221,0.3333333333333333,3,0.3263888888888889,0.3166118664437596
d_tgt,near_causal,0.6,6,0.3229166666666667,0.3541666666666667,-0.03125,0.3229166666666667,3,0.32291666666666663,0.31649232106309755
d_tgt,near_causal,0.6,7,0.3993055555555556,0.3888888888888889,0.010416666666666685,0.3125,2,0.3993055555555556,0.3904685082455942
d_tgt,near_causal,0.6,8,0.5486111111111112,0.5451388888888888,0.003472222222222321,0.5625,2,0.5486111111111112,0.49347130619657054
d_tgt,near_causal,0.6,9,0.4479166666666667,0.4201388888888889,0.02777777777777779,0.3333333333333333,1,0.44791666666666663,0.46044647080866713
d_tgt,near_causal,0.7,1,0.5520833333333334,0.5520833333333334,0.0,0.5104166666666666,2,0.5520833333333334,0.5218190253468091
d_tgt,near_causal,0.7,2,0.22916666666666666,0.21875,0.010416666666666657,0.28125,2,0.22916666666666669,0.20877275316621793
d_tgt,near_causal,0.7,3,0.6319444444444444,0.6527777777777778,-0.02083333333333337,0.6145833333333334,4,0.6319444444444444,0.6339390653392041
d_tgt,near_causal,0.7,4,0.3715277777777778,0.3854166666666667,-0.013888888888888895,0.375,3,0.3715277777777778,0.3210862070039207
d_tgt,near_causal,0.7,5,0.3229166666666667,0.3298611111111111,-0.00694444444444442,0.3333333333333333,4,0.3229166666666667,0.30555703642487186
d_tgt,near_causal,0.7,6,0.3020833333333333,0.3541666666666667,-0.05208333333333337,0.3229166666666667,4,0.3020833333333333,0.2958107915330471
d_tgt,near_causal,0.7,7,0.3993055555555556,0.3888888888888889,0.010416666666666685,0.3125,2,0.3993055555555556,0.3885168943987347
d_tgt,near_causal,0.7,8,0.5520833333333334,0.5451388888888888,0.006944444444444531,0.5625,2,0.5520833333333333,0.5002650746819104
d_tgt,near_causal,0.7,9,0.4479166666666667,0.4201388888888889,0.02777777777777779,0.3333333333333333,1,0.44791666666666663,0.45928001678319724
